,attack_mean,param0_mean,log10_pvalue_mean,R_mean,marked_mean,attack_min,param0_min,log10_pvalue_min,R_min,marked_min,attack_max,param0_max,log10_pvalue_max,R_max,marked_max,attack_std,param0_std,log10_pvalue_std,R_std,marked_std
0,blur,3.0,-61.76632972732273,6283150.527777778,1.0,blur,3.0,-90.77303439238995,855158.0,True,blur,3.0,-24.601622816752254,19591482.0,True,blur,3.0,22.355837104965403,5915768.5992520135,0.0
1,blur,5.0,-55.30831963755224,5193266.1875,1.0,blur,5.0,-79.57755652849369,498652.0625,True,blur,5.0,-18.985028544730866,17075712.0,True,blur,5.0,20.12935384071324,5244594.462176754,0.0
2,blur,7.0,-50.190503756770795,4313807.409722222,1.0,blur,7.0,-74.60825027671771,352242.1875,True,blur,7.0,-15.975275630407468,14969560.0,True,blur,7.0,18.446962939365815,4584803.351325241,0.0
3,blur,9.0,-45.94757160356933,3570668.972222222,1.0,blur,9.0,-71.87294369629703,276763.125,True,blur,9.0,-14.459114766472918,13129704.0,True,blur,9.0,17.461502869097348,3986365.630410259,0.0
4,blur,11.0,-40.646331838376085,2863520.3350694445,1.0,blur,11.0,-67.41051019999884,161820.703125,True,blur,11.0,-11.1110957874773,11268227.0,True,blur,11.0,16.682776832243448,3418873.82931054,0.0
5,blur,13.0,-34.44795917610804,2175961.9149305555,1.0,blur,13.0,-60.21361412813215,71342.078125,True,blur,13.0,-8.291231161252396,9253829.0,True,blur,13.0,15.191746597032843,2813815.629287876,0.0
6,blur,15.0,-26.81667587156194,1419312.6614583333,0.8888888888888888,blur,15.0,-48.98677876076341,-7215.921875,False,blur,15.0,-5.769544665327992,6394280.0,True,blur,15.0,12.672939992587482,1955500.3407505397,0.3333333333333333
7,blur,17.0,-19.033847593173718,759417.4322916666,0.8888888888888888,blur,17.0,-36.73048130250281,-61831.734375,False,blur,17.0,-4.073585362039036,3595746.75,True,blur,17.0,10.543873553815722,1114675.6078367028,0.3333333333333333
8,blur,19.0,-12.18901233964538,318858.3923611111,0.8888888888888888,blur,19.0,-24.52130701728304,-109645.59375,False,blur,19.0,-2.7845363181981377,1691215.0,True,blur,19.0,7.691371909188148,551516.4250977816,0.3333333333333333
9,brightness,0.5,-63.944100112449775,5931331.902777778,1.0,brightness,0.5,-92.96520524686255,909215.875,True,brightness,0.5,-27.53421257121283,19166556.0,True,brightness,0.5,23.343686144487794,5625962.481157525,0.0
10,brightness,1.0,-74.45415674432454,8320092.402777778,1.0,brightness,1.0,-110.57882938121007,1857522.125,True,brightness,1.0,-37.8081191336656,24935668.0,True,brightness,1.0,27.815824114359454,7059105.78865376,0.0
11,brightness,1.5,-44.86942397919913,2903466.6536458335,0.7777777777777778,brightness,1.5,-83.50166073579028,-127510.21875,False,brightness,1.5,-2.008701814922336,9315923.0,True,brightness,1.5,29.632222213942505,3057157.1105608777,0.44095855184409843
12,brightness,2.0,-29.550083364360678,1320951.0902777778,0.7777777777777778,brightness,2.0,-67.81214091226863,-111311.3203125,False,brightness,2.0,-1.0978251461228203,6013157.0,True,brightness,2.0,24.643254459890873,1897349.0733367982,0.44095855184409843
13,center_crop,0.1,-5.427622360853104,-101590.86458333333,0.3333333333333333,center_crop,0.1,-10.292882299706749,-1597865.0,False,center_crop,0.1,-1.753471956887648,646981.625,True,center_crop,0.1,2.7217415190733902,675545.5060629944,0.5
14,center_crop,0.2,-9.126649814267195,377824.5607638889,0.6666666666666666,center_crop,0.2,-16.165381863957194,-169683.65625,False,center_crop,0.2,-4.040918548657806,1254112.625,True,center_crop,0.2,4.320686670173499,532012.5919382938,0.5
15,center_crop,0.30000000000000004,-13.749204142668143,740384.5243055555,1.0,center_crop,0.30000000000000004,-25.3161016047274,18747.671875,True,center_crop,0.30000000000000004,-6.432264294094212,2149768.5,True,center_crop,0.30000000000000004,6.741838453747845,855131.0374979577,0.0
16,center_crop,0.4,-20.68512775520701,1524916.84375,1.0,center_crop,0.4,-38.48944282274482,43327.265625,True,center_crop,0.4,-7.589168901470093,4108002.75,True,center_crop,0.4,11.264272395515652,1546696.8759081846,0.0
17,center_crop,0.5,-21.029480756437867,1210576.375,1.0,center_crop,0.5,-34.08511424383019,38306.46875,True,center_crop,0.5,-7.8013088632743495,4200294.0,True,center_crop,0.5,11.116836258799976,1441198.0615314958,0.0
18,center_crop,0.6000000000000001,-24.42298811846001,1343215.189236111,1.0,center_crop,0.6000000000000001,-49.766185193948665,6053.390625,True,center_crop,0.6000000000000001,-6.275753980655502,4431556.5,True,center_crop,0.6000000000000001,13.387039676305283,1425173.6331845876,0.0
19,center_crop,0.7000000000000001,-31.411853711739337,2409612.09375,1.0,center_crop,0.7000000000000001,-47.444268565395966,130789.71875,True,center_crop,0.7000000000000001,-10.929767986492026,8662292.0,True,center_crop,0.7000000000000001,11.992760468700377,2790923.891759335,0.0
20,center_crop,0.8,-29.098323197117825,1753353.1788194445,1.0,center_crop,0.8,-51.13878203566915,111073.515625,True,center_crop,0.8,-10.454660336858439,6116286.0,True,center_crop,0.8,13.019954649088683,1955874.6595054895,0.0
21,center_crop,0.9,-30.942585141165182,2156457.017361111,1.0,center_crop,0.9,-54.51675706055044,29707.84375,True,center_crop,0.9,-7.223377687613361,7925680.5,True,center_crop,0.9,14.00159886585698,2561286.0151827475,0.0
22,center_crop,1.0,-74.45415674432454,8320092.402777778,1.0,center_crop,1.0,-110.57882938121007,1857522.125,True,center_crop,1.0,-37.8081191336656,24935668.0,True,center_crop,1.0,27.815824114359454,7059105.78865376,0.0
23,contrast,0.0,-0.2152968997440687,-44071.262586805555,0.0,contrast,0.0,-0.4274950138798106,-59825.125,False,contrast,0.0,-0.04318942216848746,-36790.19140625,False,contrast,0.0,0.11352058176135699,7620.971061103941,0.0
24,contrast,0.5,-64.19987897163121,5961505.083333333,1.0,contrast,0.5,-92.93975596951807,1011603.75,True,contrast,0.5,-28.954313896521953,18243654.0,True,contrast,0.5,22.91265086087302,5390889.731377496,0.0
25,contrast,1.0,-74.45415674432454,8320092.402777778,1.0,contrast,1.0,-110.57882938121007,1857522.125,True,contrast,1.0,-37.8081191336656,24935668.0,True,contrast,1.0,27.815824114359454,7059105.78865376,0.0
26,contrast,1.5,-49.5976482831272,5246121.208333333,1.0,contrast,1.5,-69.88387475261258,479453.75,True,contrast,1.5,-20.02570030791798,23041128.0,True,contrast,1.5,14.76248292267776,7231514.303924034,0.0
27,contrast,2.0,-36.18758338297613,3645533.029513889,1.0,contrast,2.0,-56.01340325708721,73249.015625,True,contrast,2.0,-8.517309178672356,19707002.0,True,contrast,2.0,13.619053721123693,6275952.217760638,0.0
28,hue,-0.5,-25.699489439267737,950374.4114583334,1.0,hue,-0.5,-41.63679246647244,48802.359375,True,hue,-0.5,-8.014609442993304,3517266.25,True,hue,-0.5,11.418281157264579,1175625.643869365,0.0
29,hue,-0.25,-40.93316778139518,2195644.625,1.0,hue,-0.25,-61.44522429980817,272844.1875,True,hue,-0.25,-15.157986379037624,9237367.0,True,hue,-0.25,15.359348667804381,2740600.7339274543,0.0
30,hue,0.0,-74.19753946090736,8135042.583333333,1.0,hue,0.0,-110.1896688605208,1835247.25,True,hue,0.0,-37.75049998975118,24266268.0,True,hue,0.0,27.676869919085295,6853257.351621964,0.0
31,hue,0.2,-43.282176154693985,2539796.4166666665,1.0,hue,0.2,-75.6085861570993,235031.875,True,hue,0.2,-14.888526696375743,9467388.0,True,hue,0.2,18.269527300789782,2971558.069978627,0.0
32,hue,0.25,-41.575721424117084,2609417.6197916665,1.0,hue,0.25,-70.97465634690866,172309.765625,True,hue,0.25,-12.967606959790372,10330524.0,True,hue,0.25,17.560689604721624,3199861.190151997,0.0
33,hue,0.5,-25.895710124396075,956610.3324652778,1.0,hue,0.5,-41.78256677630687,46492.0234375,True,hue,0.5,-7.920801475123031,3539889.0,True,hue,0.5,11.647590176333264,1185346.7071283234,0.0
34,jpeg,10.0,-0.8400359843332007,-184275.04774305556,0.0,jpeg,10.0,-1.9370658532212395,-267054.84375,False,jpeg,10.0,-0.02189450624947841,-124509.8515625,False,jpeg,10.0,0.652377561047952,54657.276974187705,0.0
35,jpeg,20.0,-1.9300202595935514,-132350.07638888888,0.0,jpeg,20.0,-4.094485026635732,-198013.65625,False,jpeg,20.0,-0.4289685405325975,-62792.59375,False,jpeg,20.0,0.9945836834278232,48295.083763686365,0.0
36,jpeg,30.0,-3.7035412468254347,-64190.469618055555,0.1111111111111111,jpeg,30.0,-6.189338034157378,-139066.28125,False,jpeg,30.0,-1.9104787646634915,7483.890625,True,jpeg,30.0,1.406582493236537,50521.58445421577,0.33333333333333337
37,jpeg,40.0,-5.90391231293206,-8053.977430555556,0.5555555555555556,jpeg,40.0,-8.932083278032387,-118755.359375,False,jpeg,40.0,-2.756343246601833,115413.375,True,jpeg,40.0,2.3595543610662055,75253.48207729631,0.5270462766947299
38,jpeg,50.0,-9.100527974169605,76308.08506944444,0.8888888888888888,jpeg,50.0,-14.379445210221498,-43983.0,False,jpeg,50.0,-4.529259875020561,211664.0,True,jpeg,50.0,2.8982990318671704,72972.42263720218,0.3333333333333333
39,jpeg,60.0,-13.555445620730394,206630.13628472222,1.0,jpeg,60.0,-21.303930681984998,58483.015625,True,jpeg,60.0,-8.072921070520643,429410.5,True,jpeg,60.0,3.807059667778567,130775.74410296443,0.0
40,jpeg,70.0,-19.963395888723184,383792.55555555556,1.0,jpeg,70.0,-32.97138166626371,105044.40625,True,jpeg,70.0,-8.093861658237364,713581.625,True,jpeg,70.0,7.525357377490665,217756.55829086367,0.0
41,jpeg,80.0,-31.845823137602892,995074.4236111111,1.0,jpeg,80.0,-54.63668975409855,238450.875,True,jpeg,80.0,-13.076171457210373,2676093.0,True,jpeg,80.0,12.714089475822858,746023.5887139443,0.0
42,jpeg,90.0,-48.13963628311741,2524679.548611111,1.0,jpeg,90.0,-76.3244036681522,479035.9375,True,jpeg,90.0,-19.33396650295,7776746.5,True,jpeg,90.0,17.44743561390597,2186573.9424310736,0.0
43,jpeg,100.0,-67.64521239884874,6591117.9375,1.0,jpeg,100.0,-98.48480885853093,1015266.4375,True,jpeg,100.0,-29.54901752067159,20780272.0,True,jpeg,100.0,25.90530377280097,5992926.108288824,0.0
44,meme_format,-1.0,-35.15476088021401,1050612.673611111,1.0,meme_format,-1.0,-54.011204111060344,30547.03125,True,meme_format,-1.0,-8.119873087225862,3688410.5,True,meme_format,-1.0,14.262630251508721,1127453.238283256,0.0
45,none,-1.0,-74.45415674432454,8320092.402777778,1.0,none,-1.0,-110.57882938121007,1857522.125,True,none,-1.0,-37.8081191336656,24935668.0,True,none,-1.0,27.815824114359454,7059105.78865376,0.0
46,overlay_onto_screenshot,-1.0,-2.859812683699905,-14426.62109375,0.2222222222222222,overlay_onto_screenshot,-1.0,-11.278693304079397,-30098.00390625,False,overlay_onto_screenshot,-1.0,-0.02216145721008961,38415.69140625,True,overlay_onto_screenshot,-1.0,4.263058648165811,25348.5840398301,0.4409585518440985
47,resize,0.1,-0.3815924130453442,-837470.1145833334,0.0,resize,0.1,-0.9940052265114512,-3175603.0,False,resize,0.1,-0.0347753149700058,-188743.3125,False,resize,0.1,0.2969957751471758,991291.5324886577,0.0
48,resize,0.2,-0.9149317260193777,-381153.47222222225,0.0,resize,0.2,-2.7619831370892456,-1153709.875,False,resize,0.2,-0.05283014049820091,-99510.3125,False,resize,0.2,0.9627194842460852,359347.85928059084,0.0
49,resize,0.30000000000000004,-3.264875722195116,-149171.92708333334,0.2222222222222222,resize,0.30000000000000004,-13.168372548686266,-605343.75,False,resize,0.30000000000000004,-0.20608753263447263,383253.03125,True,resize,0.30000000000000004,4.197731352033207,277677.0376937597,0.4409585518440985
50,resize,0.4,-7.156994746219264,171444.74045138888,0.4444444444444444,resize,0.4,-22.738537381377203,-501154.84375,False,resize,0.4,-0.26666609117563345,2139944.5,True,resize,0.4,7.281228514291404,781334.0553069388,0.5270462766947299
51,resize,0.5,-12.480567098985036,604914.1362847222,0.7777777777777778,resize,0.5,-29.883700987980365,-162128.828125,False,resize,0.5,-0.9782626147990691,4177832.0,True,resize,0.5,10.055531715293277,1376252.2260000634,0.44095855184409843
52,resize,0.6000000000000001,-19.662414231460694,1038599.2621527778,0.8888888888888888,resize,0.6000000000000001,-39.203280641980754,-118438.9765625,False,resize,0.6000000000000001,-2.297504614474508,5057777.0,True,resize,0.6000000000000001,12.103991645419853,1632913.8934825105,0.3333333333333333
53,resize,0.7000000000000001,-27.14839996762403,2013741.6588541667,0.8888888888888888,resize,0.7000000000000001,-50.44120093107973,-45421.0546875,False,resize,0.7000000000000001,-4.566862282290432,9704600.0,True,resize,0.7000000000000001,14.582067463741474,3083725.1064810352,0.3333333333333333
54,resize,0.8,-32.314282703763496,2203149.3211805555,0.8888888888888888,resize,0.8,-53.12271583113926,-38008.203125,False,resize,0.8,-4.803431765693245,7915820.0,True,resize,0.8,13.871401942778366,2549735.6715982,0.3333333333333333
55,resize,0.9,-34.86861127243819,2649575.517361111,1.0,resize,0.9,-60.10107359622325,14947.53125,True,resize,0.9,-6.560268140474522,9879350.0,True,resize,0.9,15.18150507023072,3144980.3388541834,0.0
56,resize,1.0,-74.45415674432454,8320092.402777778,1.0,resize,1.0,-110.57882938121007,1857522.125,True,resize,1.0,-37.8081191336656,24935668.0,True,resize,1.0,27.815824114359454,7059105.78865376,0.0
57,rotation,0.0,-74.45415674432454,8320092.402777778,1.0,rotation,0.0,-110.57882938121007,1857522.125,True,rotation,0.0,-37.8081191336656,24935668.0,True,rotation,0.0,27.815824114359454,7059105.78865376,0.0
58,rotation,5.0,-33.36778457051613,2035774.8125,1.0,rotation,5.0,-54.55872564190625,99455.6875,True,rotation,5.0,-10.292438984608676,8398192.0,True,rotation,5.0,12.442531870398673,2603033.987102563,0.0
59,rotation,10.0,-30.457256700625383,1794391.3723958333,1.0,rotation,10.0,-46.77657983784822,32182.2265625,True,rotation,10.0,-7.5360886572993335,7791427.5,True,rotation,10.0,11.966586169441117,2435911.8800638607,0.0
60,rotation,15.0,-26.947405004187516,1459184.6831597222,1.0,rotation,15.0,-43.281935207727486,9273.3671875,True,rotation,15.0,-6.418914415590238,6359098.5,True,rotation,15.0,12.029819434181496,2015042.3743910394,0.0
61,rotation,20.0,-26.189140921104755,1321771.920138889,0.8888888888888888,rotation,20.0,-44.04511217966978,-6492.734375,False,rotation,20.0,-5.699466067732388,5528282.0,True,rotation,20.0,13.266169677688726,1775700.6690316445,0.3333333333333333
62,rotation,25.0,-25.120380260239667,1178699.5,1.0,rotation,25.0,-42.79852627954403,9918.0,True,rotation,25.0,-6.460036975918069,5070820.0,True,rotation,25.0,12.733723697845335,1618372.546864503,0.0
63,rotation,30.0,-23.7756874614591,1077478.2664930555,0.8888888888888888,rotation,30.0,-39.81963469389635,-9028.0703125,False,rotation,30.0,-5.5498476874370235,4632680.5,True,rotation,30.0,11.687907566434362,1489367.5765052855,0.3333333333333333
64,rotation,35.0,-21.87062891575836,958375.0972222222,0.8888888888888888,rotation,35.0,-38.33660235484808,-11891.6796875,False,rotation,35.0,-5.4471882359811445,4316503.5,True,rotation,35.0,11.465495867285505,1390218.8985932025,0.3333333333333333
65,rotation,40.0,-21.989091059166242,913295.546875,1.0,rotation,40.0,-36.42717858389403,27746.28125,True,rotation,40.0,-7.423091531020912,4311298.0,True,rotation,40.0,11.528604952574728,1376070.823818458,0.0
